Nivel,Verbos
Recordar,Recordar
Recordar,Reconocer
Recordar,Listar
Recordar,Describir
Recordar,Identificar
Recordar,Recuperar
Recordar,Denominar
Recordar,Localizar
Recordar,Encontrar
Recordar,Resaltar
Recordar,Marcar
Recordar,Buscar
Recordar,Utilizar
Compreder,Compreder
Compreder,Interpretar
Compreder,Resumir
Compreder,Inferir
Compreder,Parafrasear
Compreder,Clasificar
Compreder,Comparar
Compreder,Explicar
Compreder,Ejemplificar
Compreder,Categorizar
Compreder,Etiquetar
Compreder,Comentar
Compreder,Anotar
Compreder,Suscribir
Aplicar,Aplicar
Aplicar,Implementar
Aplicar,Desempeñar
Aplicar,Usar
Aplicar,Ejecutar
Aplicar,Correr
Aplicar,Cargar
Aplicar,Jugar
Aplicar,Operar
Aplicar,Hackear
Aplicar,Subir
Aplicar,Compartir
Aplicar,Editar
Analizar,Analizar
Analizar,Comparar
Analizar,Organizar
Analizar,Deconstruir
Analizar,Atribuir
Analizar,Delinear
Analizar,Encontrar
Analizar,Estructurar
Analizar,Integrar
Analizar,Recombinar
Analizar,Enlazar
Analizar,Validar
Analizar,Recopilar
Evaluar,Evaluar
Evaluar,Revisar
Evaluar,Formular
Evaluar,Criticar
Evaluar,Experimentar
Evaluar,Juzgar
Evaluar,Probar
Evaluar,Detectar
Evaluar,Monitorear
Evaluar,Comentar
Evaluar,Revisar
Evaluar,Publicar
Evaluar,Moderar
Evaluar,Colaborar
Evaluar,Participar
Evaluar,Reelaborar
Evaluar,Probar
Crear,Crear
Crear,Diseñar
Crear,Construir
Crear,Planear
Crear,Producir
Crear,Idear
Crear,Trazar
Crear,Elaborar
Crear,Programar
Crear,Filmar
Crear,Animar
Crear,Blogear
Crear,Mezclar
Crear,Remezclar
Crear,Dirigir
Crear,Transmitir